,title,author,day,genre,story,platform,webtoon_url,thumbnail_url
624,아코르,"마하로,이지영",X(완결),판타지 드라마,"잔혹한 과거의 이안과 
신비한 소녀 네이의 
가슴시린 성장동화",카카오,https://webtoon.kakao.com/content/아코르/791,https://kr-a.kakaopagecdn.com/P/C/791/c1/2x/de6ec9e6-f702-40d1-ae3e-2756a740779e.png
625,다이어터,"네온비,캐러멜",X(완결),코믹/일상,"뚱뚱한 청춘은 가라!
캐러멜 작가가 선보이는
다이어트 백서!",카카오,https://webtoon.kakao.com/content/다이어터/676,https://kr-a.kakaopagecdn.com/P/C/676/c1/2x/ce5620b4-9d2d-4a23-8346-6572a86595d1.png
626,굿모닝 사회인 야구,"장이,장이",X(완결),액션/무협,"기초부터 배우는 
국내 최초의 
사회인 야구 교본!",카카오,https://webtoon.kakao.com/content/굿모닝-사회인-야구/814,https://kr-a.kakaopagecdn.com/P/C/814/c1/2x/418da419-4960-42b4-a73d-0447a417047a.png
627,나는 매일 그를 훔쳐본다,"유현숙,유현숙",X(완결),로맨스,"훔쳐보기로 사랑을
시작한 극소심녀의
좌충우돌 연애담",카카오,https://webtoon.kakao.com/content/나는-매일-그를-훔쳐본다/748,https://kr-a.kakaopagecdn.com/P/C/748/c1/2x/cbf0002a-b741-4346-a95e-e8c2b21e8595.png
628,고.흔.연,"문크,이진아",X(완결),판타지 드라마,"고양이를 통해 만난 
흔해빠질 수 있는 
그와 그녀의 인연",카카오,https://webtoon.kakao.com/content/고.흔.연/759,https://kr-a.kakaopagecdn.com/P/C/759/c1/2x/0365cb95-6320-47aa-855c-d0d8ed46399e.png
629,레이어즈 아나키,"글피,글피",X(완결),학원/판타지,"시공을 초월한 그 곳,
레이어를 둘러싼 
본격적인 이야기!",카카오,https://webtoon.kakao.com/content/레이어즈-아나키/788,https://kr-a.kakaopagecdn.com/P/C/788/c1/2x/ae32c46c-e0ff-44f6-87c0-88bdabfc47a5.png
630,오! 마이 레이스,"배추도사무도사,배추도사무도사",X(완결),로맨스,"전쟁터와 같은 패션계,
레이스를 사랑하는 
이 남자를 주목하라!",카카오,https://webtoon.kakao.com/content/오-마이-레이스/660,https://kr-a.kakaopagecdn.com/P/C/660/c1/2x/3798d195-696b-4dec-9e50-38a9d5b91e54.png
631,란의 공식,"양영순,양영순",X(완결),학원/판타지,"학교 안에서 벌어지는 
모든 일을 예측하는
'란'의 거대한 설계",카카오,https://webtoon.kakao.com/content/란의-공식/37,https://kr-a.kakaopagecdn.com/P/C/37/c1/2x/fe903354-360d-4beb-ab6f-2de05d7d7671.png
632,코알랄라,"yami,yami",X(완결),코믹/일상,"맛있는 음식을 먹을 때
나오는 감탄사 한마디
코알랄라!",카카오,https://webtoon.kakao.com/content/코알랄라/187,https://kr-a.kakaopagecdn.com/P/C/187/c1/2x/fc7e0500-ab91-4d98-a7d1-a124b5519ee1.png
633,용사에게 소중한 것,"데몬제이,데몬제이",X(완결),코믹/일상,"불바다에 잠긴 왕국과
주인을 잃지 않은 검!
어느 용사의 대서사시",카카오,https://webtoon.kakao.com/content/용사에게-소중한-것/800,https://kr-a.kakaopagecdn.com/P/C/800/c1/2x/9bff17d9-aa50-431b-88b1-ecea2a7afdac.png
634,빨간봉투,"최호진,최호진",X(완결),드라마,"가질 수 없는 것들을
욕망하게 되는
청춘들의 이야기",카카오,https://webtoon.kakao.com/content/빨간봉투/781,https://kr-a.kakaopagecdn.com/P/C/781/c1/2x/fef7ec98-896a-4491-8c47-81cc7adfc985.png
635,미세스 선녀,"박세준,아초",X(완결),드라마,"학원가를 주름잡던 그녀
어느날 현모양처가 
되어 돌아오다!",카카오,https://webtoon.kakao.com/content/미세스-선녀/747,https://kr-a.kakaopagecdn.com/P/C/747/c1/2x/30bd1052-8fc1-484d-8220-2a0eb7f1d181.png
636,도사랜드,"이원식,두엽",X(완결),학원/판타지,"제대로된 직업에는 
사짜가 들어가줘야지!
그래서 바로 도사!",카카오,https://webtoon.kakao.com/content/도사랜드/743,https://kr-a.kakaopagecdn.com/P/C/743/c1/2x/cb433152-40dc-421d-a894-39fb98ed4205.png
637,흰둥이,"윤필,윤필",X(완결),드라마,"오늘도 흰둥이는 
사람들과 하루하루
열심히 살아갑니다",카카오,https://webtoon.kakao.com/content/흰둥이/626,https://kr-a.kakaopagecdn.com/P/C/626/c1/2x/bdd88d56-5e7a-4942-8c71-1ad5eb6325bd.png
638,바람개비 소년의꿈,"강도하,강도하",X(완결),코믹/일상,"바람개비소년 '하루'는
바람을 찾아
여행을 떠난다",카카오,https://webtoon.kakao.com/content/바람개비-소년의꿈/18,https://kr-a.kakaopagecdn.com/P/C/18/c1/2x/a10e4e91-b8c3-418f-99d2-6e683407cb14.png
639,낙오여군복귀기,"윤필,윤필",X(완결),드라마,"2021년, 정부의 
특별조치 발표로
여성 군복무 의무화!",카카오,https://webtoon.kakao.com/content/낙오여군복귀기/813,https://kr-a.kakaopagecdn.com/P/C/813/c1/2x/b85a24cf-794b-4a04-a789-62c0ff336e07.png
640,모든걸 걸었어,"Hun,박용제",X(완결),액션/무협,"당신이 꾸는 꿈이
한계에 가로막혔을 때
목숨을 걸 수 있을까?",카카오,https://webtoon.kakao.com/content/모든걸-걸었어/805,https://kr-a.kakaopagecdn.com/P/C/805/c1/2x/4adc5051-3703-49da-8dea-ab217789dab0.png
