id,title,author,day,genre,story,platform,webtoon_url,thumbnail_url
703,돼지우리,"김칸비, 천범식",X(완결),스릴러,"무인도에 표류한 주인공, 그 앞에 정체불명의 가족이 나타난다.",네이버,https://comic.naver.com/webtoon/list?titleId=724854,https://shared-comic.pstatic.net/thumb/webtoon/724854/thumbnail/thumbnail_IMAG06_189cc8cd-3beb-4893-b02c-45c6bd95a3b8.jpg
704,Yes my boss(예스마이보스),김밀콩,X(완결),드라마,"가뜩이나 생활고에 시달리는데, 하나뿐인 동생이 사고를 쳐서 발등에 불 떨어진 웹툰작가 정아린. 직업상 어시는 많이 필요하지만 이들에게 줄 월급이 고료로는 부족하다. 오랜 세월 꿈꾸던 만화가를 그만둘 수 없어 어쩔 수 없이 취직을 해 낮에는 직장인, 밤에는 만화가인 삶을 살기로 하지만 만화만 그리던 손으로 회사일이 익숙할 리 없을 터. 출근 첫날부터 상사에게 열심히 까이고 작업실로 돌아온 그 때 부족한 손을 채워줄 새로운 파트타임 어시를 보고 눈을 의심하게 되는데...!",네이버,https://comic.naver.com/webtoon/list?titleId=746747,https://shared-comic.pstatic.net/thumb/webtoon/746747/thumbnail/thumbnail_IMAG06_5a5d5143-fae0-4d2f-b042-8dc2e12eea13.jpg
705,플라워(FLOWAR),홍작가,X(완결),드라마,인류가 정착하기 좋은 환경을 갖고 있다고 알려진 행성 ‘프록시마G’.,네이버,https://comic.naver.com/webtoon/list?titleId=746748,https://shared-comic.pstatic.net/thumb/webtoon/746748/thumbnail/thumbnail_IMAG06_dae3e971-96bb-4e05-ab99-53510851315c.jpg
706,한스와 에밀리,김지효,X(완결),드라마,그림을 너무 사랑하는 바른 청년 ‘한스’. 군대 제대 이후 엄마의 시장 일을 돕다가 더 큰 세계에서 미술을 공부하기 위해 샌프란시스코에서의 유학생활을 시작한다. 새 학교에서 처음 사귄 친구 ‘상은’을 위한 선물을 사기 위해 한 작은 수족관에 들어가게 되고 이 곳에서 금붕어의 저주에 걸린 플라워 왕국의 공주 ‘에밀리’를 우연히 사게 되면서 둘의 인연이 시작되는데…,네이버,https://comic.naver.com/webtoon/list?titleId=746749,https://shared-comic.pstatic.net/thumb/webtoon/746749/thumbnail/thumbnail_IMAG06_26cf2673-50a3-4551-b3bd-44c14d1d49bb.jpg
707,태릉좀비촌,하얀독수리,X(완결),드라마,대한민국에서 가장 높은 신체능력과 강도 높은 훈련을 이겨낸 엘리트 운동선수들이 모여 있는 '태릉선수촌'에 좀비 바이러스가 퍼졌다. 유도 은메달리스트 락구는 자신의 목숨보다 중요한 양궁선수 승미를 구하기 위해 격리구역이 된 태릉선수촌에 뛰어드는데…….,네이버,https://comic.naver.com/webtoon/list?titleId=746750,https://shared-comic.pstatic.net/thumb/webtoon/746750/thumbnail/thumbnail_IMAG06_90391057-7ca8-4207-939a-8cedde0b76da.jpg
708,토니와 함께,정성완,X(완결),드라마,"전염병으로 황폐해지고 있는 세상. 인생이 원하는 대로 풀리지 않아 부모님 댁으로 도피했던 내가 홀로 살아 남았다. 막연한 목표로 자취방을 향해 걷던 어느 날, 강아지 토니를 발견하게 되는데... 그렇게 낯선 존재인 토니와 함께 여정을 떠난다.",네이버,https://comic.naver.com/webtoon/list?titleId=746751,https://shared-comic.pstatic.net/thumb/webtoon/746751/thumbnail/thumbnail_IMAG06_bfbc8640-e7f2-4958-a030-85f23396848f.jpg
709,영월동 534번지,"임성훈, 정보근",X(완결),드라마," 어린 시절 기억을 잃은 채 미국으로 입양된 여리원은 자신에게 화재와 관련된 트라우마가 있다는 것을 알게 되고, 이를 치료할 과거의 사실을 확인하기 위해 한국을 찾는다.  그러나 여리원이 기억을 잃은 계기가 된 과거의 화재 사건과 밀접한 관계를 가진 새봄재단이사장 박정덕은, 마침 코앞으로 다가온 국회의원 선거를 앞두고 그녀의 방문을 탐탁치않게 여긴다.  과거를 찾아나선 여리원은 자신과 과거와 연관된 여러 사람을 만나가는 과정 속에서 많은 사람들이 화재사건과 자신의 어머니에 대한 것을 숨기려 하고 있음을 눈치 채기 시작한다…!",네이버,https://comic.naver.com/webtoon/list?titleId=746752,https://shared-comic.pstatic.net/thumb/webtoon/746752/thumbnail/thumbnail_IMAG06_cc21e080-8fd3-48f3-afb6-813f40d577e9.jpg
710,고인의 명복,"조주희, 유노",X(완결),드라마,"이승과 저승, 삶과 죽음을 둘러싼한국형 미스터리 판타지",네이버,https://comic.naver.com/webtoon/list?titleId=716776,https://shared-comic.pstatic.net/thumb/webtoon/716776/thumbnail/thumbnail_IMAG06_266e0a68-b436-47e2-b5cf-82f1e34816f2.jpg
711,루시퍼의 경호원,"문설희, 직선",X(완결),판타지,루시퍼의 힘을 얻게 된 경호원과 힘을 뺏긴 루시퍼의 구슬 쟁탈전 !,네이버,https://comic.naver.com/webtoon/list?titleId=730202,https://shared-comic.pstatic.net/thumb/webtoon/730202/thumbnail/thumbnail_IMAG06_48d48611-a70e-45de-a7fb-7d219f03cb46.jpg
712,악취,디귿,X(완결),스릴러,"며칠 전부터 아랫집에서 썩은 내가 나기 시작했다. 냄새가 나고 얼마 뒤, 친구가 사라졌다. 그리고 아랫집 누나까지. 그 다음은...? 사라진 사람들, 그리고 그들을 찾는 사람들의 이야기!",네이버,https://comic.naver.com/webtoon/list?titleId=729946,https://shared-comic.pstatic.net/thumb/webtoon/729946/thumbnail/thumbnail_IMAG06_bc76e8d1-5041-4e16-934f-736a95726d1e.jpg
